time	V(v_out)	I(I1)
3.374532949685159e-04	5.031982e+00	1.000000e-01
3.411318663970854e-04	5.031459e+00	1.000000e-01
3.448104378256549e-04	5.030901e+00	1.000000e-01
3.484890092542245e-04	5.030307e+00	1.000000e-01
3.496890092542238e-04	5.030112e+00	1.000000e-01
3.508890092542232e-04	5.029915e+00	1.000000e-01
3.520890092542226e-04	5.029716e+00	1.000000e-01
3.532890092542220e-04	5.029515e+00	1.000000e-01
3.544890092542213e-04	5.029312e+00	1.000000e-01
3.556890092542207e-04	5.029107e+00	1.000000e-01
3.568890092542201e-04	5.028901e+00	1.000000e-01
3.569390092542201e-04	5.028892e+00	1.000000e-01
3.602247235399326e-04	5.028316e+00	1.000000e-01
3.635104378256453e-04	5.027735e+00	1.000000e-01
3.667961521113578e-04	5.027151e+00	1.000000e-01
3.700818663970704e-04	5.026561e+00	1.000000e-01
3.733675806827830e-04	5.025968e+00	1.000000e-01
3.766532949684956e-04	5.025369e+00	1.000000e-01
3.799390092542082e-04	5.024767e+00	1.000000e-01
3.834390092542064e-04	5.024128e+00	1.000000e-01
3.869390092542045e-04	5.023494e+00	1.000000e-01
3.904390092542027e-04	5.022866e+00	1.000000e-01
3.939390092542009e-04	5.022244e+00	1.000000e-01
3.974390092541991e-04	5.021628e+00	1.000000e-01
4.009390092541973e-04	5.021018e+00	1.000000e-01
4.044390092541955e-04	5.020413e+00	1.000000e-01
4.081390092541936e-04	5.019787e+00	1.000000e-01
4.134318663970480e-04	5.018908e+00	1.000000e-01
4.187247235399023e-04	5.018057e+00	1.000000e-01
4.240175806827568e-04	5.017236e+00	1.000000e-01
4.293104378256112e-04	5.016443e+00	1.000000e-01
4.346032949684656e-04	5.015679e+00	1.000000e-01
4.398961521113200e-04	5.014944e+00	1.000000e-01
4.451890092541744e-04	5.014238e+00	1.000000e-01
4.472032949684591e-04	5.013979e+00	1.000000e-01
4.492175806827437e-04	5.013724e+00	1.000000e-01
4.512318663970284e-04	5.013474e+00	1.000000e-01
4.532461521113131e-04	5.013228e+00	1.000000e-01
4.552604378255977e-04	5.012987e+00	1.000000e-01
4.572747235398824e-04	5.012750e+00	1.000000e-01
4.592890092541671e-04	5.012518e+00	1.000000e-01
4.593390092541671e-04	5.012513e+00	1.000000e-01
4.664604378255952e-04	5.011734e+00	1.000000e-01
4.735818663970233e-04	5.011007e+00	1.000000e-01
4.807032949684514e-04	5.010331e+00	1.000000e-01
4.878247235398795e-04	5.009707e+00	1.000000e-01
4.949461521113077e-04	5.009135e+00	1.000000e-01
5.020675806827358e-04	5.008614e+00	1.000000e-01
5.091890092541639e-04	5.008144e+00	1.000000e-01
5.105390092541647e-04	5.008059e+00	1.000000e-01
5.178461521113117e-04	5.007633e+00	1.000000e-01
5.251532949684586e-04	5.007243e+00	1.000000e-01
5.324604378256056e-04	5.006889e+00	1.000000e-01
5.397675806827527e-04	5.006571e+00	1.000000e-01
5.470747235398997e-04	5.006290e+00	1.000000e-01
5.543818663970466e-04	5.006044e+00	1.000000e-01
5.616890092541936e-04	5.005834e+00	1.000000e-01
5.617390092541937e-04	5.005833e+00	1.000000e-01
5.682604378256259e-04	5.005666e+00	1.000000e-01
5.747818663970582e-04	5.005516e+00	1.000000e-01
5.813032949684904e-04	5.005382e+00	1.000000e-01
5.878247235399228e-04	5.005264e+00	1.000000e-01
5.943461521113550e-04	5.005162e+00	1.000000e-01
6.008675806827873e-04	5.005076e+00	1.000000e-01
6.073890092542195e-04	5.005006e+00	1.000000e-01
6.129390092542227e-04	5.004952e+00	1.000000e-01
6.174961521113681e-04	5.004914e+00	1.000000e-01
6.220532949685135e-04	5.004881e+00	1.000000e-01
